,Study,pole,N,K,A95,slat,slon,Plat,Plon,min_age,max_age,mean_age
0,Absaroka_volcanics,,44,11.076771214806705,6.774448276144833,44.61389934172793,250.05106464990044,-81.91767819937456,328.5759295303971,45.0,54.0,49.5
1,Beaver_River_intrusions,,21,44.97275626267796,4.79231159482962,60.238151143191786,234.65220927091502,-79.31324219108687,327.66984118281977,40.5,43.5,42.0
2,Bighorn_Basin_sediments,,59,10.640569550647998,5.954671948866425,44.45981611409688,251.8096268489345,-81.54904237017679,2.761737505117676,52.54,59.237,55.8885
3,Bishop_tuff,,47,127.0,1.9,37.67,241.25,-80.16411586947522,314.29025191379765,0.7661,0.7679,0.767
4,Bitterroot_Dome_intrusions,,11,34.08268553827469,7.933789503969509,46.373039382679316,245.1076373817529,-72.17864705801641,344.4329683958661,46.4,55.5,50.95
5,Central_Mexico_Plio-Pleistocene,,13,61.071911302403514,5.34724209409093,19.55170637028009,260.39884010470064,-88.50309471229357,154.99689379593283,0.0,4.51,2.255
6,Clear_Lake_volcanic_field,,3,5.300916989058968,59.966190234982086,38.961940557709504,237.3323377322668,-84.88946072173705,298.87143052516785,0.8400000000000001,1.37,1.105
7,Coso_Range_volcanics,,2,16.165811097839374,66.82231496596893,35.94451097710366,242.2210480062103,-73.77595738589856,249.3026522763038,0.8300000000000001,1.31,1.07
8,Dinan_Bay_lavas,,13,18.744472424483686,9.832138367475117,53.649138364580914,233.32081567905084,-83.33583869950067,324.2735640172362,18.9,26.4,22.65
9,Eastern_Alkaline_Province,,17,42.47958785880572,5.536743496504109,20.327289184771562,262.72383899961557,-88.340152811511,267.711248150385,1.5,14.97,8.235
10,Eastern_TMVB,,32,24.99578972524678,5.184284579686362,19.870125851817754,261.47979007718453,-83.26692164289936,354.1672495015271,0.0,17.6,8.8
11,Latir_volcanic_field,,91,7.432937432711509,5.84258882583304,36.79728561201507,254.56250723392998,-79.71846320259483,357.5973523766168,16.6,28.5,22.55
12,Long_Valley_Caldera_volcanics,,20,19.849724139496583,7.5127902077136826,37.66906030393276,241.1358481828795,-87.66406266916944,11.142714416048626,0.036000000000000004,0.7380000000000001,0.38700000000000007
13,Mariscal_Mtn_intrusions,,18,42.46047322934988,5.366825069979264,29.084778209850572,256.8138340997486,-79.96924221852558,5.260913974181469,34.14,46.7,40.42
14,Michoacan_Guanajuato_volcanic_field,,8,31.322756792766356,10.05179279257339,19.278856900381072,257.65162288107337,-83.09583717844284,42.690351924365686,0.058,0.653,0.35550000000000004
15,Mistastin_Lake_impact,,25,99.87559038420815,2.9108967865306568,55.86700785683014,296.61310556005344,-84.52498993651729,286.65210564229415,34.6,38.6,36.6
16,Mogollon-Datil_volcanics,,171,12.912563767429083,3.1206973688801747,33.312891605861424,252.22946026078088,-81.73231447612969,336.41243180407434,21.0,44.0,32.5
17,Monterey_intrusions,,17,18.59737372446835,8.496886290949567,38.377044309712446,280.67948547789274,-86.76920261186905,86.89291901861138,47.0,47.9,47.45
18,N_Montana_intrusions,,95,17.619207985549593,3.5573271285299763,47.85984303275984,249.86636556858952,-82.31875641028684,358.4579814837656,46.4,55.4,50.9
19,Ramsay_Island_lavas,,37,18.102388632371323,5.691059410726508,52.55595658347292,228.64508218442595,-83.29722361717036,299.2174994526817,35.9,41.1,38.5
20,Rattlesnake_Hills_volcanics,,18,13.847358911017805,9.63461693070647,42.794978946602974,252.69052687464165,-79.41531700736066,326.0757250684698,44.7,45.1,44.900000000000006
21,Robinson_Antincline_intrusions,,16,25.35046469686866,7.470869940965813,46.20000000000001,249.5,-77.48469636730967,329.7538607065775,48.0,52.6,50.3
22,SW_USA_composite,,70,19.599863251354805,3.928570268434176,37.18982521594546,245.32404086007998,-87.39500316945639,342.96069532266773,0.0,16.5,8.25
23,San_Luis_Hills_volcanics,,23,13.982647177306937,8.393791809436218,37.16716337135799,254.04472849890374,-79.71619395502708,349.46178312727716,25.7,31.0,28.35
24,Sierra_de_Las_Cruces,,25,39.085457030255384,4.689496019896829,19.466978511925337,260.55395363404034,-80.83812820377308,336.5929903123638,0.0,4.11,2.055
25,Snake_River_Plain,,23,25.035632612473655,6.171164228401165,42.97864913098154,246.35371132161202,-86.87422867582265,187.76949629116734,0.027999999999999997,6.0,3.014
26,Sonoma_volcanics,,26,20.006307709966023,6.499615857753879,38.43015516709046,237.57368487048637,-80.32287533188638,248.82984418758315,2.5,8.17,5.335
27,Stoddard_Mountain_laccolith,,19,56.5440778893235,4.502149750417008,37.517585237220956,246.62247827786135,-83.75855117659745,333.5728069318542,20.2,21.96,21.08
28,Tequila_volcanic_field,,17,27.50355063840698,6.925343320983027,20.83286378784269,256.1789360954266,-85.4219176577252,263.8723701365022,0.07900000000000001,1.448,0.7635
29,Valles_Caldera_volcanics,,11,12.652024914714987,13.354422375218931,35.89549679025298,253.43633852031076,-87.13581711020696,218.5267118174135,0.05,3.7399999999999998,1.8949999999999998
30,Western_Central_TMVB,,43,28.51372052704833,4.150323835050247,20.366390993876603,257.54348554428884,-87.76959370741204,104.29743449381183,0.0,11.0,5.5
